Language,True Positive,False Positive,False Negative,Precision,Recall,F1
Hindi,22,0,0,1,1,1
Bokmål,21,0,1,1,0.9545454545,0.976744186
German,22,0,1,1,0.9565217391,0.9777777778
Russian,25,0,0,1,1,1
Finnish,19,0,0,1,1,1
Portuguese,23,1,0,0.9583333333,1,0.9787234043
Bulgarian,16,0,0,1,1,1
Lithuanian,21,0,0,1,1,1
Croatian,21,0,1,1,0.9545454545,0.976744186
Bengali,31,0,3,1,0.9117647059,0.9538461538
French,17,0,1,1,0.9444444444,0.9714285714
Hungarian,24,0,0,1,1,1
Georgian,21,0,0,1,1,1
Ukrainian,29,0,0,1,1,1
Slovak,26,0,0,1,1,1
Slovene,22,0,2,1,0.9166666667,0.9565217391
Indonesian,20,1,3,0.9523809524,0.8695652174,0.9090909091
Macedonian,18,0,0,1,1,1
Catalan,24,0,0,1,1,1
Swedish,30,0,0,1,1,1
Korean,15,0,0,1,1,1
Galician,21,0,0,1,1,1
Malay,21,1,1,0.9545454545,0.9545454545,0.9545454545
Modern Greek,24,0,0,1,1,1
English,21,10,0,0.6774193548,1,0.8076923077
Italian,21,1,1,0.9545454545,0.9545454545,0.9545454545
Tamil,15,0,1,1,0.9375,0.9677419355
Spanish,18,0,0,1,1,1
Standard Chinese,18,0,1,1,0.9473684211,0.972972973
Estonian,23,0,0,1,1,1
Czech,34,0,0,1,1,1
Telugu,24,0,0,1,1,1
Arabic,22,0,0,1,1,1
Vietnamese,28,0,0,1,1,1
Thai,19,0,0,1,1,1
Japanese,19,0,0,1,1,1
Azerbaijani,14,0,1,1,0.9333333333,0.9655172414
Persian,26,2,0,0.9285714286,1,0.962962963
Polish,24,1,1,0.96,0.96,0.96
Hebrew,24,0,0,1,1,1
Romanian,31,2,0,0.9393939394,1,0.96875
Danish,21,0,1,1,0.9545454545,0.976744186
Dutch,22,0,0,1,1,1
Turkish,24,0,0,1,1,1
Macro precision ,0.9846634072,,,,,
Micro precision,0.981,,,,,
Macro recall,0.9806793591,,,,,
Micro recall ,0.981,,,,,
Macro F1,0.9816443055,,,,,
Micro F1,0.981,,,,,
